FileName,Rekognition_words
2019-01-14_18-58-59_UTC.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet', 'Person', 'Human', 'Hardhat']"
2019-01-15_08-55-40_UTC.jpg.json,"['Boy', 'Person', 'Human']"
2019-04-14_17-08-10_UTC.jpg.json,"['Car', 'Transportation', 'Tire', 'Spoke', 'Machine', 'Alloy Wheel', 'Wheel', 'Light', 'Car Wheel', 'Headlight']"
2019-05-03_19-06-05_UTC_1.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2019-05-03_19-06-05_UTC_2.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Race Car', 'Sports Car', 'Tarmac', 'Spoke', 'Tire', 'Alloy Wheel', 'Wheel']"
2019-05-05_18-20-12_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Race Car', 'Tarmac', 'Asphalt']"
2019-05-20_19-06-56_UTC.jpg.json,"['Race Car', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Tarmac', 'Asphalt']"
2019-05-27_17-33-57_UTC.jpg.json,"['Tarmac', 'Asphalt', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Race Car', 'Road']"
2019-06-01_07-03-43_UTC.jpg.json,"['Tarmac', 'Asphalt', 'Car', 'Automobile', 'Transportation', 'Vehicle', 'Sports Car', 'Race Car']"
2019-06-03_17-08-14_UTC_1.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2019-06-03_17-08-14_UTC_2.jpg.json,"['Car', 'Vehicle', 'Transportation', 'Race Car', 'Sports Car', 'Tarmac', 'Wheel', 'Machine', 'Person', 'Tire']"
2019-06-03_17-08-14_UTC_3.jpg.json,"['Race Car', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Tarmac', 'Asphalt']"
2019-06-03_17-08-14_UTC_4.jpg.json,"['Person', 'Human', 'Headphones', 'Headset', 'Electronics', 'Face']"
2019-06-03_17-08-14_UTC_5.jpg.json,"['Person', 'Human', 'Tarmac', 'Asphalt']"
2019-06-09_15-24-03_UTC.jpg.json,"['Clothing', 'Apparel', 'Helmet', 'Crash Helmet']"
2019-06-12_15-23-44_UTC.jpg.json,"['Mirror', 'Car', 'Transportation', 'Vehicle', 'Automobile', 'Fire Truck', 'Truck', 'Car Mirror']"
2019-06-16_12-34-43_UTC.jpg.json,"['Race Car', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Tarmac', 'Asphalt', 'Tire']"
2019-06-24_14-39-17_UTC.jpg.json,"['Car', 'Transportation', 'Wheel', 'Machine', 'Tire', 'Alloy Wheel', 'Spoke', 'Sports Car', 'Car Wheel', 'Race Car']"
2019-07-07_11-23-59_UTC.jpg.json,"['Tire', 'Spoke', 'Machine', 'Alloy Wheel', 'Wheel', 'Car Wheel', 'Car', 'Transportation', 'Logo', 'Symbol']"
2019-08-03_15-07-54_UTC.jpg.json,"['Clothing', 'Apparel', 'Crash Helmet', 'Helmet']"
2019-08-12_17-14-15_UTC.jpg.json,"['Alloy Wheel', 'Spoke', 'Wheel', 'Machine', 'Tire', 'Car Wheel', 'Car', 'Transportation', 'Vehicle', 'Automobile']"
2019-09-14_08-29-01_UTC.jpg.json,"['Machine', 'Helicopter', 'Transportation', 'Vehicle', 'Aircraft']"
2019-09-16_16-38-11_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Race Car', 'Coupe']"
2019-10-04_16-04-32_UTC_1.jpg.json,"['Clothing', 'Apparel', 'Person', 'Human', 'People', 'Sport', 'Sports', 'Team Sport', 'Team']"
2019-10-04_16-04-32_UTC_2.jpg.json,"['Glove', 'Clothing', 'Apparel', 'People', 'Person', 'Human', 'Team Sport', 'Sport', 'Team', 'Baseball']"
2019-10-04_16-04-32_UTC_3.jpg.json,"['Word', 'Text', 'Clothing', 'Apparel', 'Rug']"
2019-10-04_16-04-32_UTC_4.jpg.json,"['Clothing', 'Apparel', 'Glove']"
2019-10-05_17-29-46_UTC.jpg.json,"['Race Car', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Tire']"
2020-02-08_18-40-31_UTC_1.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Race Car', 'Offroad', 'Wheel', 'Machine']"
2020-02-08_18-40-31_UTC_2.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Nature', 'Outdoors', 'Snow']"
2020-02-08_18-40-31_UTC_3.jpg.json,"['Clothing', 'Apparel', 'Person', 'Human', 'Jacket', 'Coat']"
2020-02-08_18-40-31_UTC_4.jpg.json,"['Sports Car', 'Car', 'Vehicle', 'Transportation', 'Person', 'Coupe', 'Tire', 'Race Car', 'Wheel', 'Spoke']"
2020-02-08_18-40-31_UTC_5.jpg.json,"['Person', 'Human', 'Sports Car', 'Car', 'Vehicle', 'Transportation', 'Automobile', 'Race Car']"
2020-02-08_18-40-31_UTC_6.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Sports Car', 'Offroad', 'Tire']"
2020-02-09_15-52-32_UTC.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Wheel', 'Tire', 'Sports Car', 'Alloy Wheel', 'Spoke', 'Coupe', 'Car Wheel']"
2020-02-11_18-13-24_UTC_1.jpg.json,"['Car', 'Vehicle', 'Transportation', 'Sports Car', 'Nature', 'Outdoors', 'Bird', 'Coupe', 'Offroad', 'Race Car']"
2020-02-11_18-13-24_UTC_2.jpg.json,"['Sports Car', 'Car', 'Vehicle', 'Coupe', 'Spoke', 'Machine', 'Tire', 'Alloy Wheel', 'Wheel', 'Car Wheel']"
2020-02-11_18-13-24_UTC_3.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Nature', 'Outdoors', 'Offroad']"
2020-02-15_17-10-39_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Bumper']"
2020-02-19_17-07-47_UTC.jpg.json,"['Clothing', 'Apparel', 'Jacket', 'Coat', 'Person', 'Human']"
2020-02-21_17-05-21_UTC.jpg.json,"['Sports Car', 'Car', 'Transportation', 'Vehicle', 'Coupe', 'Flyer', 'Advertisement', 'Paper', 'Poster', 'Tire']"
2020-02-22_17-34-07_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Formula One', 'Sports Car', 'Race Car']"
2020-02-28_17-27-13_UTC_1.jpg.json,"['Car', 'Transportation', 'Vehicle', 'Alloy Wheel', 'Wheel', 'Spoke', 'Machine', 'Tire', 'Car Wheel', 'Car Wash']"
2020-02-28_17-27-13_UTC_2.jpg.json,"['Nature', 'Outdoors', 'Snow', 'Winter']"
2020-02-28_17-27-13_UTC_3.jpg.json,"['Sports Car', 'Car', 'Vehicle', 'Tire', 'Race Car', 'Alloy Wheel', 'Wheel', 'Spoke', 'Machine', 'Car Wheel']"
2020-02-28_17-27-13_UTC_4.jpg.json,"['Vehicle', 'Transportation', 'Car', 'Automobile']"
2020-02-28_17-27-13_UTC_5.jpg.json,"['Car', 'Vehicle', 'Transportation', 'Sports Car', 'Tire', 'Wheel', 'Machine', 'Alloy Wheel', 'Spoke', 'Car Wheel']"
2020-03-04_17-26-36_UTC.jpg.json,"['Car', 'Transportation', 'Tire', 'Wheel', 'Machine', 'Car Wheel', 'Spoke', 'Alloy Wheel', 'Light', 'Person']"
2020-03-06_17-52-43_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Coupe', 'Bumper', 'Tire']"
2020-03-15_17-30-36_UTC.jpg.json,"['Car', 'Automobile', 'Transportation', 'Vehicle', 'Sports Car', 'Race Car', 'Tarmac', 'Asphalt']"
2020-03-20_18-13-24_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation']"
2020-03-21_17-39-57_UTC.jpg.json,"['Hug', 'Person', 'Human', 'Clothing', 'Apparel', 'Dating']"
2020-03-27_17-24-54_UTC.jpg.json,"['Offroad', 'Transportation', 'Vehicle', 'Nature', 'Car', 'Automobile', 'Outdoors']"
2020-03-29_16-28-02_UTC.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Coupe', 'Outdoors']"
2020-04-03_16-24-23_UTC_1.jpg.json,"['Car', 'Automobile', 'Vehicle', 'Transportation', 'Sports Car', 'Tire']"
