Length,Date,Day,Time,Views,Likes,Comments,Shares,Data date,s watched,d's watched,Avg watched,d'avg watched,%'all watched,%'d'all watched,Audience,d'Audiance,For You,Personal Profile,Follow,Sound,Search,Hashtag,1 Country,%,2C,%,3C,%,4C,%,5C,%,Privated/Deleted sound,,Virality,ER,"9,563,485","7,639,413","4,748,149","2,130,275","1,561,186","18,271",,,,"52,598,473",Moving Average V,Moving Median V,Moving std V,Moving AVG likes,Likes/Views,,Length
12.05,27/9/2021,1,5:23,"59,500",7732,103,13,12/3/2022,656644,3600,11,-0.1,48.1,-0.01,54100,6,65,11,23,0,0,0,SE,25,US,16,GB,8,CA,5,NL,5,,0.912863071,3.993463681,12.99%,14875,9520,4760,0,2975,0,15,"100,000",,,"298,682","85,800","592,537","30,967",10.40%,"131,886",12
13.14,29/9/2021,3,20:56,"42,500",8261,45,18,12/3/2022,446254,212949,10.5,-0.1,44.3,-0.01,38400,8,26,17,57,0,0,0,SE,24,US,13,GB,10,NL,6,NO,4,,0.799086758,3.791105371,19.44%,10200,5525,4250,0,2550,0,15,"50,000",,,"299,261","85,800","592,267","31,099",10.40%,"118,457",13
13.35,5/10/2021,2,5:01,"1,500,000",39800,327,274,12/3/2022,17236897,209288,11.3,-0.1,57.6,-0.01,1400000,9,98,1,1,0,0,0,GB,16,US,13,SE,8,DE,7,NL,5,,0.846441948,4.755748959,2.65%,120000,195000,240000,105000,75000,0,15,"5,000,000",,,"328,133","89,300","614,238","31,778",9.70%,"308,614",13
15.58,11/10/2021,1,5:19,"25,400",3692,99,11,12/3/2022,262044,3600,10.3,-0.1,32.8,-0.01,22800,8,40,32,27,0,0,0,SE,30,GB,8,US,7,NL,4,PH,4,,0.66110398,3.321726382,14.54%,7620,1778,2032,0,1016,0,20,"50,000",,,"328,120","89,300","614,245","31,786",9.70%,"255,857",16
9.31,12/10/2021,2,5:20,"31,800",3908,22,5,12/3/2022,237998,198305,7.5,0.1,38.1,0.01,28600,7,42,27,30,0,0,0,SE,33,GB,8,US,8,NL,6,NO,3,,0.805585392,3.385667888,12.29%,10494,2544,2544,0,1908,0,10,"50,000",,,"322,476","85,800","615,645","31,000",9.60%,"251,457",9
16.11,13/10/2021,3,5:17,"50,900",5501,41,6,12/3/2022,699271,9762,13.7,0.1,45.1,0.01,46100,9,58,18,24,0,0,0,SE,28,ID,8,US,7,GB,6,PH,5,,0.850403476,3.929689616,10.81%,14252,3563,3054,0,0,0,20,"100,000",,,"322,543","85,800","615,615","30,957",9.60%,"255,600",16
6.94,14/10/2021,4,2:30,"536,000",27800,111,111,12/3/2022,3874591,4698,7.2,-0.1,55.1,-0.01,506400,12,95,2,2,0,0,0,SE,16,DE,6,FR,5,GB,5,VN,4,,1.037463977,4.167351349,5.19%,85760,0,26800,32160,0,0,8,"600,000",,,"328,886","85,800","616,125","31,090",9.50%,"320,871",7
8.5,15/10/2021,5,6:52,"26,300",3695,24,7,12/3/2022,197865,6528,7.5,0.1,52,0.02,23900,10,0,40,59,0,0,0,SE,19,US,13,GB,11,NL,6,DE,3,,0.882352941,4.038925712,14.05%,4997,3419,2893,789,1578,0,9,"50,000",,,"323,492","79,100","617,573","30,445",9.40%,"316,129",9
7.85,16/10/2021,6,7:57,"96,500",7766,13,8,12/3/2022,738727,5796,7.6,0.1,59,0.01,89700,10,73,14,13,0,0,0,SE,19,GB,16,NL,12,US,6,BE,4,,0.968152866,4.466349476,8.05%,18335,5790,15440,0,11580,0,8,"100,000",,,"324,106","85,800","617,326","30,356",9.40%,"323,843",8
10.68,20/10/2021,3,3:34,"2,300,000",289500,1166,10900,12/3/2022,21872009,54671,9.3,-0.1,57.4,-0.01,2100000,124,91,2,0,4,0,0,GB,14,SE,7,US,6,DE,6,IT,6,,0.870786517,5.002155126,12.59%,161000,138000,322000,138000,0,0,12,"5,000,000",,,"361,718","85,800","676,510","35,131",9.70%,"438,129",11
10.33,21/10/2021,4,6:56,"1,300,000",154400,810,6182,12/3/2022,11613248,11166,8.7,-0.1,49.6,-0.01,1200000,32,92,3,1,1,0,0,GB,15,FR,8,DE,8,NL,7,SE,7,,0.842207164,4.422988944,11.88%,91000,0,195000,104000,91000,0,12,"1,500,000",,,"386,835","89,300","687,227","38,120",9.90%,"620,214",10
11.17,24/10/2021,7,2:56,"464,700",66300,377,2048,12/3/2022,4190180,11166,9,-0.1,49.3,-0.01,412800,24,90,4,2,1,0,0,GB,17,SE,11,NL,7,DE,6,FR,5,,0.805729633,4.399382456,14.27%,51117,0,78999,27882,32529,0,12,"600,000",,,"395,286","96,500","685,445","39,327",9.90%,"682,057",11
8.24,25/10/2021,1,5:55,"32,000",5264,28,25,12/3/2022,204387,4698,6.4,0.1,32.8,0.04,29200,10,34,22,42,0,0,0,SE,25,US,14,GB,9,NL,5,NO,3,,0.776699029,3.269472133,16.45%,8000,4480,2880,0,1600,0,9,"50,000",,,"395,541","96,500","685,305","39,396",10.00%,"679,357",8
8.26,28/10/2021,4,4:37,"79,900",9249,61,28,12/3/2022,605072,7200,7.6,-0.1,51.5,-0.01,74400,17,70,10,19,0,0,0,SE,28,GB,10,NL,7,US,5,PH,4,,0.920096852,4.015458933,11.58%,22372,3995,7990,0,5593,0,9,"100,000",,,"394,100","89,300","685,901","39,273",10.00%,"614,200",8
5.41,18/11/2021,4,21:45,"13,700",1208,6,5,12/3/2022,62389,5796,4.5,0.1,41.1,0.03,12500,15,20,47,29,0,0,0,SE,28,GB,8,US,7,PH,7,NL,7,,0.831792976,3.41407522,8.82%,3836,959,1096,0,959,0,8,"25,000",,,"394,057","89,300","685,925","39,273",10.00%,"612,400",5
8.24,24/11/2021,3,3:59,"32,800",3352,15,2,12/3/2022,234607,3600,7.1,-0.1,50.5,-0.01,30100,14,40,21,38,0,0,0,SE,29,US,10,GB,8,NL,7,PH,3,,0.861650485,3.905964524,10.22%,9512,3280,2624,0,2296,0,9,"50,000",,,"378,373","85,800","684,839","38,005",10.00%,"603,300",8
22.73,14/12/2021,2,23:53,"2,500,000",191800,1728,33200,12/3/2022,33148301,164135,13.2,-0.1,36.4,-0.01,2300000,222,95,3,1,0,0,0,NL,20,GB,13,DE,11,FR,5,ES,5,,0.580730312,4.80763065,7.67%,0,0,325000,275000,500000,0,30,"5,000,000",,,"427,002","89,300","744,344","41,733",9.80%,"631,871",23
26.89,19/12/2021,7,9:18,"17,700",1913,23,74,12/3/2022,188257,11166,10.6,-0.1,20,-0.05,15700,27,25,35,38,0,0,0,SE,24,GB,11,US,9,PH,7,NL,5,,0.394198587,3.282455808,10.81%,4248,1593,1947,0,885,0,30,"25,000",,,"424,476","85,800","745,533","41,533",9.80%,"448,686",27
11.78,19/12/2021,7,12:55,"89,170",292,8,1,12/3/2022,84924,0,10.5,0,41.4,0,7190,0,0,98,0,0,0,0,PH,23,SE,12,TH,10,VN,8,,,Privated,0.891341256,3.585893556,0.33%,10700.424,0,0,0,0,0,12,"100,000",,,"425,562","89,170","744,992","41,473",9.70%,"395,039",12
10.31,20/12/2021,1,5:31,"431,500",53200,365,301,12/3/2022,4057416,138386,9.3,-0.1,55,-0.01,400100,245,95,2,3,0,0,0,PH,34,SE,14,TH,9,NL,7,VN,7,,0.902036857,4.399074955,12.33%,60410,0,0,0,30205,0,12,"600,000",,,"419,790","89,170","743,758","40,737",9.70%,"452,110",10
12.23,14/2/2022,1,12:28,"29,300",5669,49,6,12/3/2022,250896,39294,8.5,-0.1,36.7,-0.06,26300,79,44,5,50,0,0,0,SE,18,US,16,GB,9,NL,5,SG,3,,0.695012265,3.369554539,19.35%,5274,4688,2637,0,1465,879,15,"50,000",,,"420,978","89,200","748,168","40,941",9.70%,"444,881",12
8.24,15/2/2022,2,12:07,"53,000",9810,55,25,12/3/2022,417994,52474,7.8,-0.1,50.6,0.01,45600,110,77,3,19,0,0,0,ID,10,US,9,SE,8,JP,6,SG,5,,0.946601942,3.986356836,18.51%,4240,4770,0,0,0,2650,9,"100,000",,,"421,501","89,300","748,050","41,065",9.70%,"450,496",8
9.26,16/2/2022,3,17:35,"1,900,000",77100,159,352,12/3/2022,16848056,44786,9.1,0.1,52.6,0.02,1700000,4518,99,0,1,0,0,0,US,30,PH,11,GB,5,CA,5,DE,4,,0.982721382,4.135314083,4.06%,0,570000,95000,76000,0,0,10,"5,000,000",,,"437,288","89,400","770,886","41,889",9.60%,"717,239",9
10.75,26/2/2022,6,17:29,"33,700",6449,53,11,12/3/2022,289259,75661,8.6,-0.1,44.7,-0.06,30000,143,68,3,28,0,0,0,SE,15,ID,9,SG,7,US,6,GB,6,,0.8,3.723477629,19.14%,5055,2022,2022,0,0,2359,12,"50,000",,,"438,533","90,400","771,753","42,077",9.60%,"364,910",11
13.23,6/3/2022,7,12:52,"17,700",3851,46,8,12/3/2022,163134,34596,8.7,-0.1,22.8,0.03,16400,69,74,3,22,0,0,0,SE,19,GB,12,US,11,NL,6,NO,4,,0.657596372,3.058168345,21.76%,3363,1947,2124,0,1062,0,15,"25,000",,,"438,925","91,200","772,773","42,138",9.60%,"364,910",13
6.48,8/3/2022,2,0:49,"20,300",2790,22,5,12/3/2022,130311,3600,6.1,-0.1,50.1,-0.19,19300,628,67,2,31,0,0,0,SG,21,SE,12,US,9,GB,5,NL,4,,0.941358025,3.846347023,13.74%,2436,1827,1015,0,812,4263,8,"25,000",,,"432,952","85,500","775,044","41,574",9.60%,"355,071",6
9.54,9/3/2022,3,13:33,"42,600",3316,16,7,12/3/2022,282574,37830,8,-0.1,45.9,-1.72,32900,4770,73,1,26,0,0,0,SE,12,SG,11,US,10,JP,9,GB,5,,0.838574424,3.723661766,7.78%,5112,4260,2130,0,0,4686,10,"50,000",,,"432,205","84,800","775,551","41,398",9.60%,"299,514",10
10.14,12/3/2022,6,2:31,"20,200",3495,18,6,12/3/2022,113440,58332,7.6,0.2,39.8,2.49,12900,6348,60,1,38,0,0,0,SG,17,SE,14,US,12,GB,7,NL,4,,0.749506903,3.461235977,17.30%,2828,2424,1414,0,808,3434,12,"25,000",,,"432,241","85,100","775,991","41,394",9.60%,"298,214",10
